Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
United Kingdom,5353245,128913,16220,5208112,51949,2.41,0.3,794.78,134862019,39694.0,5075945,277300,5.46
Uruguay,378480,5871,367457,5152,439,1.55,97.09,1.6,3473727,108955.0,375902,2578,0.69
Uzbekistan,118380,789,113261,4330,478,0.67,95.68,0.7,33469199,3537.0,115011,3369,2.93
Vanuatu,4,1,3,0,0,25.0,75.0,33.33,292680,14.0,4,0,0.0
Venezuela,290524,3350,273341,13833,1162,1.15,94.09,1.23,28435943,10217.0,282940,7584,2.68
Vietnam,46292,225,10020,36047,4004,0.49,21.65,2.25,97338583,476.0,26608,19684,73.98
West Bank and Gaza,315504,3585,310329,1590,0,1.14,98.36,1.16,4543126,69446.0,315047,457,0.15
Yemen,6972,1366,4154,1452,5,19.59,59.58,32.88,29825968,234.0,6940,32,0.46
Zambia,183344,3022,168052,12270,1215,1.65,91.66,1.8,18383956,9973.0,172405,10939,6.34
Zimbabwe,81168,2520,51139,27509,2296,3.1,63.0,4.93,14862927,5461.0,65066,16102,24.75
